Date,Open,High,Low,Close,Adj Close,Volume
2020-06-04,13.865000,14.445000,13.610000,14.200000,14.200000,6381498
2020-06-05,14.500000,15.510000,14.475000,15.430000,15.430000,8472840
2020-06-08,15.400000,16.250000,15.265000,15.560000,15.560000,6281592
2020-06-09,15.585000,15.845000,14.420000,14.750000,14.750000,7034517
2020-06-10,14.900000,15.220000,14.120000,14.365000,14.365000,4972097
2020-06-11,13.835000,13.850000,12.925000,12.925000,12.925000,9463480
2020-06-12,12.800000,13.880000,12.700000,13.465000,13.465000,9329811
2020-06-15,12.950000,13.490000,12.800000,13.315000,13.315000,5195178
2020-06-16,14.085000,14.150000,13.470000,13.715000,13.715000,5990460
2020-06-17,13.770000,14.085000,13.485000,13.645000,13.645000,5819642
2020-06-18,13.645000,13.910000,13.320000,13.670000,13.670000,4941098
2020-06-19,13.860000,13.860000,13.355000,13.355000,13.355000,6833442
2020-06-22,13.255000,13.945000,13.100000,13.830000,13.830000,3624525
2020-06-23,14.040000,14.945000,13.815000,14.865000,14.865000,6866555
2020-06-24,14.870000,15.125000,13.985000,14.010000,14.010000,6268995
2020-06-25,13.900000,14.385000,13.700000,14.210000,14.210000,4922756
2020-06-26,14.400000,14.500000,13.775000,13.850000,13.850000,3565886
2020-06-29,13.785000,14.310000,13.715000,14.175000,14.175000,3524835
2020-06-30,14.360000,14.610000,14.110000,14.480000,14.480000,5425364
2020-07-01,14.525000,14.565000,14.020000,14.100000,14.100000,3098646
2020-07-02,14.265000,14.840000,14.170000,14.625000,14.625000,3649380
2020-07-03,14.610000,14.775000,14.190000,14.290000,14.290000,2543125
2020-07-06,14.875000,15.095000,14.430000,14.700000,14.700000,3608280
2020-07-07,14.530000,14.820000,14.470000,14.650000,14.650000,2519764
2020-07-08,14.450000,14.570000,14.025000,14.035000,14.035000,2790908
2020-07-09,14.255000,14.355000,13.695000,13.715000,13.715000,2861706
2020-07-10,13.550000,14.040000,13.430000,14.040000,14.040000,2917327
2020-07-13,14.290000,14.550000,14.230000,14.545000,14.545000,3204010
2020-07-14,14.275000,14.525000,14.130000,14.390000,14.390000,2485345
2020-07-15,14.520000,14.705000,14.375000,14.600000,14.600000,2959307
2020-07-16,14.580000,14.790000,14.365000,14.525000,14.525000,2120348
2020-07-17,14.630000,14.850000,14.535000,14.670000,14.670000,2827538
2020-07-20,null,null,null,null,null,null
2020-07-21,14.850000,15.175000,14.760000,14.835000,14.835000,3226656
2020-07-22,14.715000,14.870000,14.390000,14.705000,14.705000,3575110
2020-07-23,14.800000,15.185000,14.800000,15.100000,15.100000,3799346
2020-07-24,14.835000,15.040000,14.620000,14.835000,14.835000,3144831
2020-07-27,14.850000,14.970000,14.510000,14.905000,14.905000,3192354
2020-07-28,15.600000,15.740000,15.220000,15.265000,15.265000,5838047
2020-07-29,15.275000,15.415000,14.755000,14.800000,14.800000,4161125
2020-07-30,14.950000,14.950000,13.910000,14.090000,14.090000,4972236
